***************************
 LISFLOOD-FP version 5.99.0
***************************

 This is a modified version 5.9 including Basic Model Interface (BMI) compatibility

***************************

 The model needs therefore be executed accordingly!

***************************

Loading parameters... 
Using acceleration formulation for floodplain flow
Using acceleration formulation for floodplain flow
Reading parameters done.


Start Date: 9/8/2026 
Start Time: 17:10:41 


Loading DEM:	mahanadi.asc
1312x973
BL corner	(440847.597798,2130377.223441)
NODATA_value	-9999.000000
Done.

Loading channel information:	mahanadi.river
1 Channel Segment
377 points in channel segment 0
Xsec  112	w=2470.330 n=0.035 z=242.509
Xsec  113	w=2479.050 n=0.035 z=241.527
Xsec  114	w=2487.730 n=0.035 z=240.893
Xsec  115	w=2496.360 n=0.035 z=240.446
Xsec  116	w=2504.940 n=0.035 z=239.997
Xsec  117	w=2513.480 n=0.035 z=239.712
Xsec  118	w=2521.980 n=0.035 z=239.302
Xsec  119	w=2530.440 n=0.035 z=238.796
Xsec  120	w=2538.850 n=0.035 z=238.568
Xsec  121	w=2547.230 n=0.035 z=238.167
Xsec  122	w=2555.560 n=0.035 z=237.945
Xsec  123	w=2563.850 n=0.035 z=237.078
Xsec  124	w=2572.100 n=0.035 z=236.174
Xsec  125	w=2580.310 n=0.035 z=235.303
Xsec  126	w=2588.480 n=0.035 z=234.625
Xsec  127	w=2596.610 n=0.035 z=233.683
Xsec  128	w=2604.710 n=0.035 z=232.823
Xsec  129	w=2612.770 n=0.035 z=231.834
Xsec  130	w=2620.790 n=0.035 z=231.235
Xsec  131	w=2628.770 n=0.035 z=230.453
Xsec  132	w=2636.720 n=0.035 z=229.767
Xsec  133	w=2644.630 n=0.035 z=228.867
Xsec  134	w=2652.510 n=0.035 z=228.093
Xsec  135	w=2660.350 n=0.035 z=227.427
Xsec  136	w=2668.160 n=0.035 z=226.941
Xsec  137	w=2675.930 n=0.035 z=226.211
Xsec  138	w=2683.670 n=0.035 z=225.543
Xsec  139	w=2691.380 n=0.035 z=225.032
Xsec  140	w=2699.050 n=0.035 z=224.685
Xsec  141	w=2706.690 n=0.035 z=224.338
Xsec  142	w=2714.300 n=0.035 z=223.854
Xsec  143	w=2721.880 n=0.035 z=223.082
Xsec  144	w=2729.420 n=0.035 z=222.476
Xsec  145	w=2736.940 n=0.035 z=221.816
Xsec  146	w=2744.420 n=0.035 z=220.898
Xsec  147	w=2751.870 n=0.035 z=219.862
Xsec  148	w=2759.290 n=0.035 z=218.402
Xsec  149	w=2766.690 n=0.035 z=217.253
Xsec  150	w=2774.050 n=0.035 z=216.153
Xsec  151	w=2781.380 n=0.035 z=215.276
